web_scraper_order,web_scraper_start_url,pagination,vet,data,kcal,vezels,lijn,€dag,fosfor,eiwit,ca:p,shop,merk,merk2,intact,castraat,ingr3,sensitive,smaak,graanvrij2,bio2,large,image,ingr,ingr2,bio,graanvrij,fosfor2
1773260605-1,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,27%,3.50,4.4%,Adult – Bountiful Catch,€ 0.65,401,34%,1.4,Medpets,Acana,Acana,3,4,2,4,–,N,N,N,,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-2,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,28%,3.53,4.4%,Adult – Homestead Harvest,€ 0.65,340,34%,1.5,Medpets,Acana,Acana,2,3,1,3,–,N,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-3,https://leden.catmoneo.nl/adults-brok2508ldhn/,,36%,25%,3.33,6.7%,Adult – Indoor Entrée,€ 0.67,301,39%,1.4,Medpets,Acana,Acana,3,2,1,3,–,N,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-4,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,22%,3.63,3.3%,Regionals – Grasslands,€ 0.88,358,36%,1.5,Medpets,Acana,Acana,2,3,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-5,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,22%,3.63,3.3%,Regionals – Pacifica,€ 0.87,248,36%,1.3,Medpets,Acana,Acana,1,3,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-6,https://leden.catmoneo.nl/adults-brok2508ldhn/,,42%,22%,3.63,3.3%,Regionals – Wild Prairie,€ 0.86,331,36%,1.3,Medpets,Acana,Acana,2,3,1,3,–,J,N,N,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,
1773260605-7,https://leden.catmoneo.nl/adults-brok2508ldhn/,,35%,31%,3.61,2.6%,Adult (1-10 jaar) (active defense),€ 0.45,NB,34%,NB,Zooplus,Advance (Affinity),Advance (Affinity),3,5,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-8,https://leden.catmoneo.nl/adults-brok2508ldhn/,,28%,33%,3.31,4.6%,Adult (1-10 jaar) Sterilised,€ 0.74,NB,39%,NB,Zooplus,Advance (Affinity),Advance (Affinity),4,4,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-9,https://leden.catmoneo.nl/adults-brok2508ldhn/,,31%,30%,3.28,6.7%,Hairball (sterilised),€ 0.79,NB,38%,NB,Zooplus,Advance (Affinity),Advance (Affinity),4,4,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-10,https://leden.catmoneo.nl/adults-brok2508ldhn/,,37%,28%,3.65,1.7%,Sensitive (non-sterilised),€ 0.45,NB,34%,NB,Zooplus,Advance (Affinity),Advance (Affinity),3,4,3,4,–,N,N,N,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-11,https://leden.catmoneo.nl/adults-brok2508ldhn/,,30%,32%,3.37,4.4%,Sensitive (sterilised),€ 0.68,NB,37%,NB,Zooplus,Advance (Affinity),Advance (Affinity),4,4,3,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg
1773260605-12,https://leden.catmoneo.nl/adults-brok2508ldhn/,,25%,41%,3.23,3.8%,HFC – Sterilized – Adult,€ 0.79,248,34%,1.1,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Kabeljauw,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-13,https://leden.catmoneo.nl/adults-brok2508ldhn/,,33%,35%,3.49,3.5%,HFC – Sterilized – Adult,€ 0.68,230,32%,1.1,Zooplus,Almo Nature,Almo Nature,2,3,3,4,Kip,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-14,https://leden.catmoneo.nl/adults-brok2508ldhn/,,27%,39%,3.30,3.6%,HFC – Sterilized – Adult,€ 0.75,243,34%,1.1,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Rund,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-15,https://leden.catmoneo.nl/adults-brok2508ldhn/,,30%,38%,3.44,3.2%,HFC – Sterilized – Adult,€ 0.69,291,33%,1.1,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-16,https://leden.catmoneo.nl/adults-brok2508ldhn/,,40%,30%,3.65,3.1%,Holistic Anti-Hairball,€ 0.42,329,31%,1.3,Zooplus,Almo Nature,Almo Nature,2,4,3,3,Kip,N,N,N,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-17,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,32%,3.77,2.7%,Holistic Anti-Hairball,€ 0.43,318,28%,1.4,Zooplus,Almo Nature,Almo Nature,4,4,3,4,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-18,https://leden.catmoneo.nl/adults-brok2508ldhn/,,34%,35%,3.52,2.5%,Holistic Intestinal Help,€ 0.45,284,31%,1.6,Zooplus,Almo Nature,Almo Nature,2,3,3,3,Lam,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-19,https://leden.catmoneo.nl/adults-brok2508ldhn/,,41%,32%,3.77,1.6%,Holistic Maintenance,€ 0.35,159,28%,1.5,Zooplus,Almo Nature,Almo Nature,4,4,3,4,Kalkoen,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-20,https://leden.catmoneo.nl/adults-brok2508ldhn/,,37%,33%,3.68,1.6%,Holistic Maintenance,€ 0.32,299,30%,1.4,Zooplus,Almo Nature,Almo Nature,2,4,3,4,Kip,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-21,https://leden.catmoneo.nl/adults-brok2508ldhn/,,35%,35%,3.62,1.6%,Holistic Maintenance,€ 0.63,304,30%,1.5,PetsPlace,Almo Nature,Almo Nature,3,4,3,4,Rund,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-22,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,30%,3.69,1.6%,Holistic Maintenance,€ 0.36,299,30%,1.3,Zooplus,Almo Nature,Almo Nature,2,4,3,4,Vette vis,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-23,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,30%,3.67,2.7%,Holistic Sterilised,€ 0.42,300,31%,1.5,Zooplus,Almo Nature,Almo Nature,2,4,3,3,Rund,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-24,https://leden.catmoneo.nl/adults-brok2508ldhn/,,39%,32%,3.71,2.2%,Holistic Sterilised,€ 0.41,269,29%,1.5,Zooplus,Almo Nature,Almo Nature,3,4,3,4,Zalm,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-25,https://leden.catmoneo.nl/adults-brok2508ldhn/,,23%,44%,3.27,2.8%,Balance,€ 0.70,275,32%,1.1,Alsa Nature,Alsa-Nature,Alsa-Nature,3,4,2,5,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
1773260605-26,https://leden.catmoneo.nl/adults-brok2508ldhn/,,33%,35%,3.48,2.8%,Basic,€ 0.65,317,32%,1.1,Alsa Nature,Alsa-Nature,Alsa-Nature,2,3,2,4,–,N,N,N,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,,,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,
