web_scraper_order,web_scraper_start_url,pagination,smaak,€dag,eiwit,vet,data,kcal,lijn,vezels,textuur,shop,merk,merk2,fosfor,ca:p,intact,castraat,sensitive2,graanvrij2,bio2,ingr2,fosfor2,sensitive,graanvrij,bio,ingr
1773261189-1,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip,€ 3.10,31%,61%,9%,1.26,Premium Paté – Adult,0.4%,Paté,CutieCat,Acana,Acana,NB,NB,5,5,3,J,J,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-2,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Lam,€ 3.55,35%,46%,19%,1.10,Premium Paté – Adult,0.4%,Paté,CutieCat,Acana,Acana,NB,NB,4,5,3,J,J,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-3,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund,€ 3.30,33%,57%,10%,1.18,Premium Paté – Adult,0.4%,Paté,CutieCat,Acana,Acana,NB,NB,5,5,3,J,J,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-4,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Tonijn en kip,€ 3.46,40%,53%,7%,1.13,Premium Paté – Adult,0.4%,Paté,CutieCat,Acana,Acana,NB,NB,5,4,3,J,J,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-5,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en kip,€ 3.61,39%,47%,14%,1.08,Premium Paté – Adult,0.4%,Paté,CutieCat,Acana,Acana,NB,NB,5,5,3,J,J,1,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/4.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/1.jpg
1773261189-6,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Rund en lever,€ 0.47,40%,54%,5%,0.78,Blik – Brokjes – Gelei,1.7%,Gelei,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-7,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Kip en kalkoen,€ 0.50,34%,47%,19%,0.73,Blik – Brokjes – Saus,2.8%,Saus,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-8,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Wild en gevogelte,€ 0.50,34%,47%,19%,0.73,Blik – Brokjes – Saus,2.8%,Saus,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-9,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Zalm en forel,€ 0.50,34%,47%,19%,0.73,Blik – Brokjes – Saus,2.8%,Saus,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,3,4,3,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
1773261189-10,https://leden.catmoneo.nl/adults-natvoer240502hdoi/,,Eend en kalkoen,€ 1.63,44%,56%,0%,0.76,Kuipje – Luxe Paté,2.9%,Paté,Albert Heijn,Albert Heijn,Albert Heijn,NB,NB,4,3,2,N,N,3,https://leden.catmoneo.nl/wp-content/uploads/2023/11/6.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/2.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/5.jpg,https://leden.catmoneo.nl/wp-content/uploads/2023/06/3.jpg
