combinaties,food_type,expected_matrix_lane,app_primary_profile,app_decision_profile,lane_match,matrix_ids_match,app_matrix_brok_ids,app_matrix_nat_ids,advies_1,advies_2,advies_3,voorbeeld_condities
23,both,actief,actief,actief,ja,ja,MX-20 | MX-02 | MX-03,MX-10 | MX-11 | MX-12,Prijstip: Carnilove Adult – Energy & outdoor Rendier,Premium: Purizon Adult Kip met vis,Luxe: Bozita Chunks in jelly – Doos 370 gram Kip,"SC-05859: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=geen_specifiek_doel || SC-05907: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=ondergewicht || SC-05955: adult, binnen, castraat=nee, bcs=2, act=actief, doelen=geen_specifiek_doel"
23,both,actief,vacht,actief,ja,ja,MX-20 | MX-02 | MX-03,MX-10 | MX-11 | MX-12,Prijstip: Carnilove Adult – Energy & outdoor Rendier,Premium: Purizon Adult Kip met vis,Luxe: Bozita Chunks in jelly – Doos 370 gram Kip,"SC-05865: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=vacht || SC-05913: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=ondergewicht+vacht || SC-05961: adult, binnen, castraat=nee, bcs=2, act=actief, doelen=vacht"
23,brok,actief,actief,actief,ja,ja,MX-20 | MX-02 | MX-03,,Prijstip: Carnilove Adult – Energy & outdoor Rendier,Premium: Purizon Adult Kip met vis,Luxe: Purizon Adult – Cold Pressed Kip met visolie,"SC-05857: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=geen_specifiek_doel || SC-05905: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=ondergewicht || SC-05953: adult, binnen, castraat=nee, bcs=2, act=actief, doelen=geen_specifiek_doel"
23,brok,actief,vacht,actief,ja,ja,MX-20 | MX-02 | MX-03,,Prijstip: Carnilove Adult – Energy & outdoor Rendier,Premium: Purizon Adult Kip met vis,Luxe: Purizon Adult – Cold Pressed Kip met visolie,"SC-05863: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=vacht || SC-05911: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=ondergewicht+vacht || SC-05959: adult, binnen, castraat=nee, bcs=2, act=actief, doelen=vacht"
23,natvoer,actief,actief,actief,ja,ja,,MX-10 | MX-11 | MX-12,Prijstip: Bozita Chunks in jelly – Doos 370 gram Kip,"Premium: Feringa Classic Meat – Adult Kip, forel, aardappel en peterselie",Luxe: Catz Finefood Classic – Adult – 25 Kip en tonijn,"SC-05858: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=geen_specifiek_doel || SC-05906: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=ondergewicht || SC-05954: adult, binnen, castraat=nee, bcs=2, act=actief, doelen=geen_specifiek_doel"
23,natvoer,actief,vacht,actief,ja,ja,,MX-10 | MX-11 | MX-12,Prijstip: Bozita Chunks in jelly – Doos 370 gram Kip,"Premium: Feringa Classic Meat – Adult Kip, forel, aardappel en peterselie",Luxe: Catz Finefood Classic – Adult – 25 Kip en tonijn,"SC-05864: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=vacht || SC-05912: adult, binnen, castraat=nee, bcs=2, act=gemiddeld, doelen=ondergewicht+vacht || SC-05960: adult, binnen, castraat=nee, bcs=2, act=actief, doelen=vacht"
1,both,balanced,basis,balanced,ja,ja,MX-01 | MX-02 | MX-03,MX-10 | MX-11 | MX-12,"Prijstip: Greenwoods Adult Kip met linzen, aardappel en ei",Premium: Purizon Adult Kip met vis,Luxe: Bozita Chunks in jelly – Doos 370 gram Kip,"SC-06435: adult, binnen, castraat=nee, bcs=5, act=gemiddeld, doelen=geen_specifiek_doel"
1,both,balanced,vacht,balanced,ja,ja,MX-01 | MX-02 | MX-03,MX-10 | MX-11 | MX-12,"Prijstip: Greenwoods Adult Kip met linzen, aardappel en ei",Premium: Purizon Adult Kip met vis,Luxe: Bozita Chunks in jelly – Doos 370 gram Kip,"SC-06441: adult, binnen, castraat=nee, bcs=5, act=gemiddeld, doelen=vacht"
1,brok,balanced,basis,balanced,ja,ja,MX-01 | MX-02 | MX-03,,"Prijstip: Greenwoods Adult Kip met linzen, aardappel en ei",Premium: Purizon Adult Kip met vis,Luxe: Purizon Adult – Cold Pressed Kip met visolie,"SC-06433: adult, binnen, castraat=nee, bcs=5, act=gemiddeld, doelen=geen_specifiek_doel"
1,brok,balanced,vacht,balanced,ja,ja,MX-01 | MX-02 | MX-03,,"Prijstip: Greenwoods Adult Kip met linzen, aardappel en ei",Premium: Purizon Adult Kip met vis,Luxe: Purizon Adult – Cold Pressed Kip met visolie,"SC-06439: adult, binnen, castraat=nee, bcs=5, act=gemiddeld, doelen=vacht"
